Country,Year,Month,Specie,min,max,median,variance
AE,2020,1,co,0.10000000000000003,0.10000000000000003,0.10000000000000003,0.0
AE,2020,1,dew,7.5,14.451724137931036,11.134482758620688,49.506551724137935
AE,2020,1,humidity,37.28448275862069,78.40862068965518,57.40689655172414,1735.827586206897
AE,2020,1,no2,3.867741935483871,46.31290322580646,15.39032258064516,942.7974193548387
AE,2020,1,o3,2.451612903225806,32.469354838709684,16.664516129032258,901.9296774193547
AE,2020,1,pm10,31.258064516129032,159.09677419354838,55.83870967741935,58729.081612903225
AE,2020,1,pm25,30.048387096774192,93.98387096774194,52.145161290322584,4296.2225806451615
AE,2020,1,pressure,1015.1482758620689,1019.448275862069,1017.1862068965518,18.557758620689654
AE,2020,1,so2,3.0838709677419343,11.796774193548384,5.567741935483868,36.28935483870968
AE,2020,1,temperature,16.17413793103448,23.93103448275862,20.063793103448276,64.15172413793104
AE,2020,1,wind gust,11.763636363636364,14.41818181818182,12.981818181818182,21.045454545454547
AE,2020,1,wind speed,1.2672413793103448,6.808620689655174,3.47758620689655,22.862068965517235
AE,2020,1,wind-gust,12.3,12.3,12.3,0.0
AE,2020,1,wind-speed,1.3333333333333333,6.000000000000001,3.033333333333333,18.255
AE,2020,2,co,0.1,0.1,0.1,0.0
AE,2020,2,dew,9.535714285714286,16.0,13.214285714285714,36.46642857142857
AE,2020,2,humidity,39.91428571428571,79.21428571428571,63.785714285714285,1660.5139285714286
AE,2020,2,no2,4.541379310344827,46.45862068965517,15.568965517241383,1002.3248275862069
AE,2020,2,o3,3.2586206896551726,35.68448275862069,17.22758620689655,999.0253448275867
AE,2020,2,pm10,57.10344827586207,129.20689655172413,80.03448275862068,11601.414827586204
AE,2020,2,pm25,54.1551724137931,123.55172413793103,83.89655172413794,4793.2308620689655
AE,2020,2,pressure,1014.7857142857143,1018.375,1016.3571428571429,13.01142857142857
AE,2020,2,so2,3.1344827586206887,15.331034482758618,5.6344827586206865,69.56172413793102
AE,2020,2,temperature,17.72142857142857,24.946428571428573,21.0,54.81714285714286
AE,2020,2,wind gust,12.966666666666669,15.200000000000001,13.300000000000002,21.963333333333335
AE,2020,2,wind speed,1.2464285714285717,6.378571428571426,3.207142857142857,22.0075
AE,2020,3,co,0.10000000000000005,0.10000000000000005,0.10000000000000005,0.0
AE,2020,3,dew,7.907692307692308,17.28153846153846,13.623076923076923,94.07215384615382
AE,2020,3,humidity,30.93846153846154,74.4076923076923,55.146153846153844,2010.283538461539
AE,2020,3,no2,2.7848484848484842,35.393939393939384,11.442424242424243,598.0203030303032
AE,2020,3,o3,4.715151515151515,37.11666666666667,18.518181818181823,924.9553030303027
AE,2020,3,pm10,53.696969696969695,172.33333333333334,87.15151515151516,23269.368181818176
AE,2020,3,pm25,51.56060606060606,119.12121212121212,82.1969696969697,5627.579393939396
AE,2020,3,pressure,1010.3,1014.686153846154,1012.4138461538461,19.620307692307684
AE,2020,3,so2,2.857575757575756,12.927272727272722,5.554545454545451,43.74727272727274
AE,2020,3,temperature,20.20769230769231,28.846153846153847,23.838461538461537,77.83784615384617
AE,2020,3,wind gust,12.575000000000001,14.275000000000004,13.050000000000002,15.435000000000002
AE,2020,3,wind speed,1.6138461538461537,7.553846153846154,3.8107692307692287,28.46723076923078
AE,2020,3,wind-gust,12.8,12.8,12.8,0.0
AE,2020,3,wind-speed,1.875,8.825000000000001,5.125000000000001,40.835
AE,2020,4,co,0.10000000000000005,0.10000000000000005,0.10000000000000005,0.0
AE,2020,4,dew,9.32857142857143,19.857142857142858,14.807142857142857,96.00885714285715
AE,2020,4,humidity,24.185714285714287,68.48571428571428,45.34285714285714,2030.4732857142867
AE,2020,4,no2,2.3885714285714283,28.79714285714286,8.700000000000003,327.172
AE,2020,4,o3,3.4771428571428578,34.53,14.885714285714283,853.7310000000004
AE,2020,4,pm10,47.51428571428571,106.31428571428572,66.91428571428571,12270.928857142857
AE,2020,4,pm25,52.74285714285714,110.77142857142857,76.47142857142858,3011.7908571428566
AE,2020,4,pressure,1008.2214285714285,1012.1428571428571,1009.9714285714285,13.016142857142855
AE,2020,4,so2,2.6714285714285704,9.831428571428571,5.1285714285714255,29.379142857142856
AE,2020,4,temperature,24.67285714285714,35.15428571428572,29.07857142857143,112.12928571428571
AE,2020,4,wind-gust,13.257142857142856,15.900000000000002,13.85714285714286,45.34142857142857
AE,2020,4,wind-speed,0.8814285714285715,7.37857142857143,2.8699999999999988,30.940571428571424
AE,2020,5,co,0.10000000000000005,0.10000000000000005,0.10000000000000005,0.0
AE,2020,5,dew,11.081967213114755,28.62295081967213,18.475409836065573,725.5493442622952
AE,2020,5,humidity,21.18032786885246,70.3688524590164,45.26229508196721,2337.7347540983615
AE,2020,5,no2,2.077419354838709,29.158064516129034,7.3419354838709685,357.2854838709677
AE,2020,5,o3,5.8508771929824555,43.86666666666668,20.940350877192984,1086.4756140350878
AE,2020,5,pm10,56.483870967741936,143.5483870967742,95.54838709677419,21300.94483870967
AE,2020,5,pm25,60.824561403508774,145.31578947368422,92.10526315789474,8303.335789473682
AE,2020,5,pressure,1004.2622950819672,1007.5245901639345,1005.688524590164,10.384426229508197
AE,2020,5,so2,2.5516129032258057,12.103225806451613,4.974193548387094,64.19903225806452
AE,2020,5,temperature,28.262295081967213,42.90163934426229,32.165573770491804,436.18639344262294
AE,2020,5,wind-gust,14.716666666666667,15.65,15.049999999999999,9.995
AE,2020,5,wind-speed,0.9688524590163935,7.845901639344262,3.2049180327868845,37.207704918032796
