Date,Country,City,Specie,count,min,max,median,variance
2020-04-02,CO,Bogotá,so2,321,0.1,2.3,0.6,0.91
2020-03-23,CO,Bogotá,so2,336,0.2,10.7,0.9,31.31
2020-03-24,CO,Bogotá,so2,326,0.2,4.2,0.7,3.49
2020-02-01,CO,Bogotá,so2,293,0.1,9.7,0.7,27.83
2020-02-12,CO,Bogotá,so2,191,0.3,16.9,1.1,74.19
2020-01-23,CO,Bogotá,so2,324,0.3,6.6,0.8,6.48
2020-01-24,CO,Bogotá,so2,336,0.4,18.0,1.0,38.26
2020-03-17,CO,Bogotá,so2,333,0.3,19.7,0.9,54.31
2020-04-04,CO,Bogotá,so2,270,0.1,32.6,0.6,87.27
2020-01-14,CO,Bogotá,so2,319,0.2,7.4,0.6,9.34
2020-02-29,CO,Bogotá,so2,65,0.3,4.9,1.0,7.04
2020-02-04,CO,Bogotá,so2,327,0.2,14.6,1.0,44.66
2020-02-18,CO,Bogotá,so2,188,0.1,10.4,0.6,20.73
2020-03-06,CO,Bogotá,so2,322,0.2,11.4,1.0,31.18
2020-03-11,CO,Bogotá,so2,327,0.3,4.0,0.9,3.30
2019-12-31,CO,Bogotá,so2,191,0.1,3.1,0.7,3.52
2020-01-25,CO,Bogotá,so2,336,0.2,12.2,0.9,27.76
2020-02-16,CO,Bogotá,so2,187,0.1,13.0,0.6,38.24
2020-03-14,CO,Bogotá,so2,330,0.1,2.3,0.7,1.44
2020-01-20,CO,Bogotá,so2,319,0.1,3.5,0.5,2.07
2020-02-03,CO,Bogotá,so2,296,0.1,5.5,0.6,5.16
2020-01-18,CO,Bogotá,wind speed,309,0.2,10.0,2.1,26.70
2020-02-24,CO,Bogotá,wind speed,247,0.1,8.8,0.9,19.18
2020-03-05,CO,Bogotá,wind speed,46,1.0,6.1,2.5,19.46
2020-03-10,CO,Bogotá,wind speed,323,0.1,11.8,1.4,24.41
2020-03-18,CO,Bogotá,wind speed,324,0.1,11.7,1.5,36.11
2020-03-21,CO,Bogotá,wind speed,333,0.2,8.9,1.6,24.60
2020-01-20,CO,Bogotá,wind speed,312,0.1,8.8,1.5,17.14
2020-03-17,CO,Bogotá,wind speed,326,0.1,11.9,1.4,37.78
2020-01-12,CO,Bogotá,wind speed,336,0.2,7.1,2.0,16.88
2020-02-05,CO,Bogotá,wind speed,352,0.1,8.0,1.6,19.61
2020-01-17,CO,Bogotá,wind speed,313,0.1,9.6,2.1,34.67
2020-01-24,CO,Bogotá,wind speed,331,0.1,8.7,1.2,21.68
2020-03-06,CO,Bogotá,wind speed,323,0.1,11.4,1.5,23.64
2020-03-09,CO,Bogotá,wind speed,335,0.1,10.2,1.7,24.72
2020-03-16,CO,Bogotá,wind speed,336,0.1,9.1,1.1,25.08
2020-03-20,CO,Bogotá,wind speed,328,0.1,10.3,1.7,29.01
2020-01-27,CO,Bogotá,wind speed,327,0.1,11.1,1.0,28.64
2020-02-08,CO,Bogotá,wind speed,336,0.1,9.6,1.2,27.28
2020-03-07,CO,Bogotá,wind speed,336,0.2,11.7,1.8,27.28
2020-03-27,CO,Bogotá,wind speed,329,0.1,10.9,1.5,37.31
2020-03-28,CO,Bogotá,wind speed,190,0.1,9.7,1.4,27.40
2020-03-22,CO,Bogotá,wind speed,332,0.1,11.4,1.3,37.52
2020-03-30,CO,Bogotá,wind speed,334,0.1,6.6,1.6,14.32
2020-01-10,CO,Bogotá,wind speed,328,0.2,10.9,2.1,35.50
2020-01-16,CO,Bogotá,wind speed,336,0.1,7.6,1.8,21.35
2020-01-23,CO,Bogotá,wind speed,326,0.1,9.6,1.1,31.18
2020-01-30,CO,Bogotá,wind speed,312,0.1,10.7,1.5,23.43
2020-02-06,CO,Bogotá,wind speed,346,0.2,7.5,1.8,20.31
2020-02-28,CO,Bogotá,wind speed,320,0.1,10.9,1.3,28.49
2020-03-31,CO,Bogotá,wind speed,333,0.1,5.3,1.4,9.60
2020-01-04,CO,Bogotá,wind speed,330,0.1,12.2,1.4,28.68
2020-02-02,CO,Bogotá,wind speed,330,0.1,8.1,1.3,17.51
2020-02-23,CO,Bogotá,wind speed,4,0.2,0.5,0.4,0.16
2020-02-29,CO,Bogotá,wind speed,98,0.1,5.6,1.5,15.19
2020-03-14,CO,Bogotá,wind speed,333,0.1,10.7,1.0,28.56
2020-03-24,CO,Bogotá,wind speed,336,0.1,7.5,1.0,14.64
2020-03-26,CO,Bogotá,wind speed,331,0.1,11.4,1.0,30.84
2020-03-29,CO,Bogotá,wind speed,322,0.1,10.2,1.9,25.01
2020-01-19,CO,Bogotá,wind speed,312,0.1,8.1,1.9,22.07
2020-02-27,CO,Bogotá,wind speed,332,0.1,11.3,1.2,33.89
2020-03-01,CO,Bogotá,wind speed,40,1.0,7.2,3.0,26.39
2020-03-02,CO,Bogotá,wind speed,111,0.1,5.6,1.5,12.72
2020-03-12,CO,Bogotá,wind speed,334,0.1,11.5,1.6,24.24
2020-03-25,CO,Bogotá,wind speed,323,0.1,6.1,1.0,9.95
2020-01-13,CO,Bogotá,wind speed,335,0.1,10.9,2.3,31.95
2020-01-14,CO,Bogotá,wind speed,333,0.1,9.8,2.1,27.22
2020-01-28,CO,Bogotá,wind speed,325,0.1,10.6,1.1,17.06
2020-02-26,CO,Bogotá,wind speed,332,0.1,10.3,1.4,28.52
2020-01-11,CO,Bogotá,wind speed,336,0.1,8.0,1.9,20.25
2020-02-07,CO,Bogotá,wind speed,335,0.1,11.0,1.5,32.36
2020-03-08,CO,Bogotá,wind speed,302,0.1,12.2,1.6,32.02
2020-01-03,CO,Bogotá,wind speed,325,0.1,11.3,1.4,26.17
2020-01-06,CO,Bogotá,wind speed,334,0.1,12.5,1.5,30.29
2020-02-01,CO,Bogotá,wind speed,327,0.1,10.1,1.5,21.30
2020-02-09,CO,Bogotá,wind speed,2,1.0,1.3,1.0,0.45
2020-03-23,CO,Bogotá,wind speed,336,0.1,7.7,1.4,15.49
2020-01-22,CO,Bogotá,wind speed,333,0.1,8.2,1.1,24.07
2020-02-03,CO,Bogotá,wind speed,329,0.2,9.0,1.7,24.87
2020-03-15,CO,Bogotá,wind speed,328,0.1,9.6,1.5,29.75
2020-03-19,CO,Bogotá,wind speed,331,0.1,11.6,1.8,31.64
2020-01-02,CO,Bogotá,wind speed,10,0.4,2.9,1.2,9.12
2020-01-05,CO,Bogotá,wind speed,327,0.2,9.8,1.5,29.44
2020-01-07,CO,Bogotá,wind speed,323,0.1,11.2,1.4,24.65
2020-01-08,CO,Bogotá,wind speed,319,0.1,9.4,1.5,20.99
2020-02-04,CO,Bogotá,wind speed,353,0.1,8.1,1.5,15.06
2020-03-13,CO,Bogotá,wind speed,335,0.1,11.9,1.5,32.26
2020-01-15,CO,Bogotá,wind speed,336,0.1,10.5,2.1,30.12
2020-01-21,CO,Bogotá,wind speed,322,0.1,10.0,1.1,18.21
2020-01-25,CO,Bogotá,wind speed,321,0.1,11.5,1.0,28.17
2020-01-31,CO,Bogotá,wind speed,331,0.1,7.0,1.8,17.33
2020-01-09,CO,Bogotá,wind speed,302,0.1,7.9,1.5,23.57
2020-01-26,CO,Bogotá,wind speed,332,0.1,10.8,1.2,37.36
2020-01-29,CO,Bogotá,wind speed,318,0.1,9.9,1.2,30.44
2020-02-25,CO,Bogotá,wind speed,318,0.1,11.4,1.0,28.51
2020-03-04,CO,Bogotá,wind speed,30,1.0,6.1,3.0,24.45
2020-03-11,CO,Bogotá,wind speed,332,0.1,10.4,1.6,28.41
2020-03-14,CO,Bogotá,wd,261,1.0,359.0,195.0,95997.90
2020-03-24,CO,Bogotá,wd,265,1.0,360.0,237.0,111295.00
2020-03-31,CO,Bogotá,wd,275,1.0,360.0,131.0,86176.40
2020-01-16,CO,Bogotá,wd,269,1.0,359.0,116.0,54964.10
2020-03-09,CO,Bogotá,wd,274,1.0,359.0,129.0,84821.60
2020-02-28,CO,Bogotá,wd,269,1.0,360.0,170.0,94650.80
2020-03-06,CO,Bogotá,wd,266,1.0,359.0,202.0,122372.00
2020-03-16,CO,Bogotá,wd,257,1.0,359.0,234.0,125473.00
2020-03-27,CO,Bogotá,wd,273,1.0,359.0,231.0,120844.00
2020-03-30,CO,Bogotá,wd,273,1.0,356.0,112.0,46740.90
2020-01-30,CO,Bogotá,wd,248,1.0,359.0,145.0,100016.00
2020-02-06,CO,Bogotá,wd,277,1.0,356.0,129.0,79823.70
2020-01-24,CO,Bogotá,wd,275,1.0,358.0,272.0,77418.40
2020-01-29,CO,Bogotá,wd,255,1.0,359.0,254.0,114255.00
2020-02-24,CO,Bogotá,wd,221,1.0,359.0,202.0,78694.30
2020-03-22,CO,Bogotá,wd,274,1.0,360.0,265.0,94628.80
2020-03-26,CO,Bogotá,wd,262,1.0,360.0,243.0,145823.00
2020-01-14,CO,Bogotá,wd,275,1.0,359.0,124.0,45686.30
2020-01-19,CO,Bogotá,wd,250,1.0,354.0,118.0,33302.50
2020-01-13,CO,Bogotá,wd,276,1.0,357.0,126.0,31715.40
2020-01-17,CO,Bogotá,wd,252,1.0,359.0,122.0,55834.50
2020-02-07,CO,Bogotá,wd,276,1.0,359.0,228.0,106616.00
2020-03-25,CO,Bogotá,wd,259,1.0,356.0,157.0,80734.20
2020-01-08,CO,Bogotá,wd,259,1.0,360.0,131.0,102869.00
2020-01-10,CO,Bogotá,wd,269,1.0,351.0,130.0,47929.50
2020-01-05,CO,Bogotá,wd,277,1.0,359.0,275.0,61268.60
2020-02-29,CO,Bogotá,wd,50,9.0,356.0,133.0,82082.00
2020-03-02,CO,Bogotá,wd,78,2.0,345.0,141.0,80927.30
2020-03-07,CO,Bogotá,wd,275,1.0,359.0,164.0,90098.00
2020-03-11,CO,Bogotá,wd,244,1.0,359.0,266.0,73070.00
